farmos_name,quantity_grams,stock_level,unit,expiry_date,quality,inventory_date,dominant_function,season_to_plant,qty_seeds_per_m2,data_source
Peach,,,,,,,edible,,,
Peanut,,1,sachet,Jun-26,B,,edible,spring-summer,,
Pear,,,,,,,edible,,,
Pear (Flordahome),,,,,,,edible,,,
Pear (Nashi),,,,,,,edible,,,
Pear (Williams),,,,,,,edible,,,
Pepino plant,,,,,,,edible,,,
Phacelia,,0.5,sachet,Jun-26,G,,edible,,,
Pigeon Pea,,1,sachet,Jun-27,,,green manure,,,
Pigeon Pea,240,1,bulk,COLLDECTED 11/25,,,green manure,,,
Plum,,,,,,,edible,,,
Plum - Pluot (Black Adder),,,,,,,edible,,,
Prickly-leaved Paperbark,,,,,,,companion,,,
Pumpkin,,0,,,,,edible,,,
Pumpkin (Golden Nugget),,1,sachet,Dec-27,G,,edible,,,
Butternut Pumpkin,,1,sachet,Aug-28,G,,edible,,,
Pumpkin (Queensland Blue),,,,,,,edible,,,
Pyrethrum,,1.5,sachet,Aug-27,G,,companion,automn-winter,,
Quince,,,,,,,edible,,,
Radish,,,,,,,edible,,,
Radish (red - scarlett globe),,1,sachet,Aug-28,G,,edible,,,
Radish (red - Sparkler),,0.5,sachet,Aug-27,G,,edible,,,
Radish (Tillage),210,1,bulk,Jun-26,G,,green manure,automn-winter,,
Raspberry,,,,,,,edible,,,
Rocket,,,,,,,edible,,,
Rose Apple,,,,,,,edible,,,
Rosemary,,,,,,,edible,,,
Rough Barked Apple,,,,,,,companion,,,
Sage,,0.5,sachet,Aug-26,G,,edible,,,
Sage (Pineapple),,,,,,,edible,,,
Shallot,,0.5,sachet,Dec-26,G,,edible,automn-winter,,
Silver Dollar Gum,,,,,,,companion,,,
Silver Wattle (Dealbata),,,,,,,companion,,,
Silverbeet,,0.5,sachet,Aug-28,G,,edible,,,
Melaleuca (Snow in Summer),,,,,,,companion,,,
Sorghum,,,,,,,green manure,,,
Spinach,,,,,,,edible,automn-winter,,
Spinach (English Mediana),,0.5,sachet,Aug-26,G,,edible,automn-winter,,
Spinach (Matador),,1,sachet,Aug-26,G,,edible,automn-winter,,
Spinach-Perennial (Okinawa Spinach),,,,,,,edible,,,
Spinach (Beet-Perpetual),,1,sachet,Aug-29,G,,edible,spring-summer,,
Spring Onion (Lisbon),,1.5,sachet,Aug-28,G,,edible,,,
Squash (Yellow Scallop),,1,sachet,Aug-28,G,,edible,,,
Strawberry,,,,,,,edible,,,
Sturt Desert Pea,,,,,,,companion,,,
Sunflower,,,,,,,green manure,spring-summer,,
Sunflower (Sun King),,0.5,sachet,Aug-29,G,,green manure,spring-summer,,
Sunn Hemp,,,,,,,green manure,,,
Surinam Cherry,,,,,,,edible,,,
Sweet Potato,,,,,,,edible,,,
Tree Lucerne - Tagasaste,,,,,,,companion,,,
Tallowood (Gum),1,1,sachet,Jul-27,G,,companion,,,
Tansy,,,,,,,companion,,,
Tarragon (Russian),,0.5,sachet,Aug-27,G,,edible,,,
Tarragon (Mexican),,,,,,,edible,,,
Tea Tree Oil (Melaleuca) (Alternifolia),,,,,,,companion,,,
Thyme,,,,,,,edible,,,
Tomato,,,,,,,edible,spring-summer,,
